"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.93825234867763,0.928,0.103,0,"11","Ifit3"
1.58790997878769e-102,4.83690431737864,0.26,0.021,2.10429830388945e-98,"11","Iigp1"
4.54745425217805e-229,4.43940229342163,0.986,0.205,6.02628637498636e-225,"11","Isg15"
1.09195951110688e-201,4.39202195202571,0.389,0.023,1.44706474411883e-197,"11","Oasl1"
8.04684383033923e-140,4.29161207484541,0.447,0.048,1.06636774439655e-135,"11","Slfn5"
1.99773046985279e-200,4.11292284301313,0.697,0.09,2.64739241864892e-196,"11","Isg20"
2.88743977872041e-127,3.8414375341199,0.341,0.029,3.82643519476029e-123,"11","Cmpk2"
2.72069180879687e-285,9.23328856883344,0.442,0.011,3.60546078501762e-281,"12","Slpi"
0,8.34272370229406,0.292,0.001,0,"12","Csf1r"
0,8.11101794929625,0.735,0.008,0,"12","C1qa"
0,8.09361167269263,0.487,0.003,0,"12","Vcam1"
0,8.08492594482641,0.566,0.007,0,"12","Apoe"
0,7.85721857204687,0.628,0.006,0,"12","C1qc"
0,7.84002462975259,0.319,0.002,0,"12","Fcna"
0,7.69064700571436,0.885,0.023,0,"12","Cd74"
0,7.58102251453987,0.788,0.012,0,"12","C1qb"
0,7.48801783919935,0.327,0.003,0,"12","Lgmn"
