"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.53173869574263e-28,0.272879140510133,0.774,0.587,2.02986011959814e-24,"1","Anxa2"
1.89642423855171e-28,0.636429259110093,0.454,0.295,2.51314140092873e-24,"1","Puf60"
1.94352510664297e-28,0.647721150252857,0.485,0.33,2.57555947132327e-24,"1","Gna15"
2.9907593107703e-28,0.79137963660548,0.349,0.207,3.9633542386328e-24,"1","Mrpl43"
3.30156337522734e-28,0.900907081813556,0.327,0.194,4.37523178485127e-24,"1","Lrrk1"
3.94379559885706e-28,0.578042455030215,0.629,0.487,5.22631792760537e-24,"1","Pnrc1"
5.32578249318667e-28,1.02481672192696,0.257,0.138,7.05772695997098e-24,"1","Sun1"
5.55640588369981e-28,0.881541756946625,0.271,0.146,7.36334907707898e-24,"1","Smu1"
5.75368865910002e-28,0.447423516102076,0.719,0.554,7.62478821103935e-24,"1","Rap1a"
1.13717225256054e-27,0.46498185377491,0.7,0.543,1.50698066909322e-23,"1","Fis1"
1.34922594454871e-27,0.45082634012035,0.686,0.515,1.78799422171594e-23,"1","Rnasek"
1.77029275340358e-27,0.278097065368964,0.965,0.924,2.34599195681042e-23,"1","Arpc1b"
1.86115764906915e-27,0.818212014748486,0.337,0.202,2.46640611654644e-23,"1","Dctn6"
1.96474127428917e-27,0.592713448589604,0.565,0.418,2.60367513668801e-23,"1","Rnf166"
2.04886899523526e-27,0.8822761397779,0.278,0.153,2.71516119248576e-23,"1","Abcb9"
2.32364177230611e-27,0.586451981226294,0.556,0.402,3.07929007666006e-23,"1","Tmem134"
2.37903895799929e-27,0.560437224989319,0.582,0.425,3.15270242714066e-23,"1","Sike1"
2.44589479856823e-27,0.72835661096442,0.358,0.215,3.24129978706262e-23,"1","Rnf7"
3.75649222897449e-27,0.502436798278038,0.663,0.514,4.978103501837e-23,"1","Ypel3"
7.25139779823154e-27,0.920076358365614,0.294,0.168,9.60955236221643e-23,"1","Trps1"
